store_id,timezone_str
8.14E+18,Asia/Beirut
5.42E+18,America/Boise
3.41E+18,America/Denver
9.06E+18,America/Denver
4.43E+18,America/Denver
2.69E+18,America/Denver
8.30E+18,America/Denver
1.05E+18,America/Denver
3.48E+18,America/Denver
1.74E+18,America/Denver
2.86E+18,America/Denver
3.83E+18,America/Denver
5.79E+18,America/Denver
5.72E+18,America/Denver
4.38E+18,America/Denver
8.78E+18,America/Denver
6.67E+18,America/Denver
6.16E+18,America/Denver
2.19E+18,America/Denver
2.23E+18,America/Denver
5.93E+18,America/Denver
8.18E+18,America/Denver
4.29E+18,America/Denver
6.73E+18,America/Denver
7.46E+18,America/Denver
7.62E+18,America/Denver
6.16E+18,America/Denver
3.39E+17,America/Denver
8.64E+18,America/Denver
9.06E+18,America/Denver
4.38E+18,America/Denver
2.25E+18,America/Denver
7.97E+18,America/Denver
1.66E+18,America/Denver
2.12E+18,America/Denver
8.47E+18,America/Denver
8.37E+18,America/Denver
5.55E+18,America/Denver
6.92E+18,America/Denver
4.53E+18,America/Denver
2.79E+18,America/Denver
8.97E+18,America/Denver
1.24E+18,America/Denver
2.74E+18,America/Denver
3.11E+18,America/Denver
2.96E+18,America/Denver
7.97E+18,America/Denver
7.79E+18,America/Denver
7.26E+18,America/Denver
1.50E+18,America/Denver
7.96E+18,America/Denver
5.67E+18,America/Denver
1.80E+18,America/Denver
5.94E+18,America/Denver
7.51E+18,America/Denver
7.90E+18,America/Denver
5.37E+18,America/Denver
7.73E+18,America/Denver
2.87E+18,America/Denver
4.68E+18,America/Denver
8.91E+18,America/Denver
8.52E+18,America/Denver
8.75E+18,America/Denver
8.78E+18,America/Denver
3.55E+18,America/Denver
8.96E+18,America/Denver
2.97E+18,America/Denver
9.20E+18,America/Denver
7.67E+18,America/Denver
5.45E+18,America/Denver
2.47E+17,America/Denver
8.80E+18,America/Denver
4.47E+18,America/Denver
1.54E+18,America/Denver
5.17E+18,America/Denver
8.29E+18,America/Denver
5.18E+18,America/Denver
6.58E+18,America/Denver
1.68E+18,America/Denver
9.11E+18,America/Denver
6.20E+18,America/Denver
3.88E+18,America/Denver
7.29E+18,America/Denver
4.65E+18,America/Denver
4.49E+18,America/Denver
7.25E+18,America/Denver
2.71E+16,America/Denver
7.70E+18,America/Denver
7.69E+18,America/Denver
5.35E+17,America/Denver
4.19E+18,America/Denver
7.61E+17,America/Denver
9.01E+18,America/Denver
7.13E+18,America/Denver
2.42E+18,America/Denver
2.68E+18,America/Denver
2.92E+18,America/Denver
4.71E+18,America/Denver
8.45E+18,America/Denver
8.24E+18,America/Denver
2.22E+18,America/Denver
8.45E+18,America/Denver
8.32E+18,America/Denver
3.68E+18,America/Denver
4.30E+18,America/Denver
8.28E+18,America/Denver
8.02E+18,America/Denver
4.38E+18,America/Denver
6.83E+18,America/Denver
2.60E+18,America/Denver
5.17E+18,America/Denver
2.44E+18,America/Denver
4.64E+17,America/Denver
5.53E+18,America/Denver
7.72E+18,America/Denver
8.44E+18,America/Denver
1.41E+18,America/Denver
2.74E+18,America/Denver
1.26E+18,America/Denver
6.03E+18,America/Denver
5.32E+18,America/Denver
5.96E+18,America/Denver
6.05E+16,America/Denver
2.49E+18,America/Denver
7.08E+18,America/Denver
1.76E+18,America/Denver
5.95E+18,America/Denver
7.78E+18,America/Denver
6.56E+18,America/Denver
